num_node 121
num_arc 206


node	0	316	50
node	1	122	260
node	2	86	342
node	3	752	764
node	4	434	206
node	5	484	310
node	6	516	362
node	7	376	10
node	8	590	648
node	9	512	506
node	10	340	430
node	11	58	594
node	12	44	654
node	13	118	978
node	14	212	1120
node	15	416	1224
node	16	412	1102
node	17	606	806
node	18	332	1040
node	19	194	810
node	20	196	678
node	21	318	700
node	22	366	846
node	23	482	2
node	24	726	566
node	25	530	1146
node	26	1028	522
node	27	746	620
node	28	358	274
node	29	270	388
node	30	632	626
node	31	730	1278
node	32	400	370
node	33	34	740
node	34	38	822
node	35	318	1180
node	36	494	1246
node	37	466	1046
node	38	396	980
node	39	366	904
node	40	250	908
node	41	194	730
node	42	204	640
node	43	356	812
node	44	518	750
node	45	170	326
node	46	706	746
node	47	912	364
node	48	896	308
node	49	1272	346
node	50	900	1288
node	51	786	1282
node	52	1126	1250
node	53	1178	1132
node	54	1252	988
node	55	1306	862
node	56	1334	776
node	57	1294	506
node	58	1236	510
node	59	1276	758
node	60	1266	818
node	61	1182	910
node	62	1110	1012
node	63	1058	1110
node	64	1034	710
node	65	924	952
node	66	834	762
node	67	762	702
node	68	832	974
node	69	874	1070
node	70	968	1070
node	71	1002	918
node	72	1034	754
node	73	188	202
node	74	748	1022
node	75	758	862
node	76	788	1080
node	77	1052	1256
node	78	1170	394
node	79	644	1210
node	80	1048	1046
node	81	800	930
node	82	810	722
node	83	788	628
node	84	1230	716
node	85	354	1108
node	86	658	394
node	87	786	584
node	88	710	194
node	89	628	252
node	90	576	96
node	91	626	56
node	92	550	342
node	93	510	206
node	94	692	134
node	95	628	1280
node	96	1056	1198
node	97	690	1028
node	98	340	1194
node	99	1014	1268
node	100	692	1198
node	101	894	1228
node	102	1002	1120
node	103	480	428
node	104	586	718
node	105	796	678
node	106	386	230
node	107	78	564
node	108	304	458
node	109	388	1070
node	110	86	280
node	111	822	1196	
node	112	582	606	
node	113	1344	724	
node	114	522	634	
node	115	282	648	
node	116	1012	336	
node	117	630	886	
node	118	348	984	
node	119	508	684	
node	120	964	940	
				

arc	0	0	4	1.0 
arc	1	1	45	1.0 
arc	2	1	110	1.0 
arc	3	3	66	1.0 
arc	4	3	67	1.0 
arc	5	4	5	1.0 
arc	6	5	6	1.0 
arc	7	6	92	1.0 
arc	8	6	30	1.0 
arc	9	7	0	1.0 
arc	10	7	23	1.0 
arc	11	7	4	1.0 
arc	12	8	30	1.0 
arc	13	8	119	1.0 
arc	14	9	103	1.0 
arc	15	10	32	1.0 
arc	16	10	8	1.0 
arc	17	11	42	1.0 
arc	18	11	12	1.0 
arc	19	11	107	1.0 
arc	20	12	20	1.0 
arc	21	12	33	1.0 
arc	22	13	14	1.0 
arc	23	13	40	1.0 
arc	24	14	18	1.0 
arc	25	14	35	1.0 
arc	26	15	16	1.0 
arc	27	15	36	1.0 
arc	28	16	85	1.0 
arc	29	16	37	1.0 
arc	30	17	30	1.0 
arc	31	17	46	1.0 
arc	32	18	85	1.0 
arc	33	18	38	1.0 
arc	34	18	40	1.0 
arc	35	19	41	1.0 
arc	36	20	42	1.0 
arc	37	21	20	1.0 
arc	38	21	41	1.0 
arc	39	21	10	1.0 
arc	40	21	119	1.0 
arc	41	22	43	1.0 
arc	42	22	44	1.0 
arc	43	23	93	1.0 
arc	44	23	94	1.0 
arc	45	24	48	1.0 
arc	46	25	97	1.0 
